                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 0.638909 +- 0.195414 (-18.922133%)  |          Lambda: 0.788019 +- 0.095241 (0.000000%)  |          Lambda: 0.800000 +- 0.480515 (1.520395%)  | 
        Radius: 3.716659 +- 0.553890 (15.752758%)  |          Radius: 3.210860 +- 0.255525 (0.000000%)  |          Radius: 3.246778 +- 0.358371 (1.118641%)  | 
         Ref0: -0.687322 +- 0.160360 (61.335618%)  |          Ref0: -0.426020 +- 0.066809 (-0.000000%)  |           Ref0: -0.456567 +- 0.107538 (7.170321%)  | 
          Imf0: 0.391046 +- 0.143110 (14.710895%)  |            Imf0: 0.340897 +- 0.067500 (0.000000%)  |          Imf0: 0.238879 +- 0.069487 (-29.926341%)  | 
           d0: 0.638598 +- 0.534169 (-72.842247%)  |              d0: 2.351439 +- 0.210830 (0.000000%)  |            d0: 1.817661 +- 0.300266 (-22.700057%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.615886 +- 0.191559 (-23.014250%)  |          Lambda: 0.800000 +- 0.479013 (0.000000%)  |        Lambda: 0.656487 +- 0.081792 (-17.939125%)  | 
        Radius: 3.716659 +- 0.553890 (15.752758%)  |          Radius: 3.210860 +- 0.255525 (0.000000%)  |          Radius: 3.246778 +- 0.358371 (1.118641%)  | 
         Ref0: -0.687322 +- 0.160360 (61.335618%)  |          Ref0: -0.426020 +- 0.066809 (-0.000000%)  |           Ref0: -0.456567 +- 0.107538 (7.170321%)  | 
          Imf0: 0.391046 +- 0.143110 (14.710895%)  |            Imf0: 0.340897 +- 0.067500 (0.000000%)  |          Imf0: 0.238879 +- 0.069487 (-29.926341%)  | 
           d0: 0.638598 +- 0.534169 (-72.842247%)  |              d0: 2.351439 +- 0.210830 (0.000000%)  |            d0: 1.817661 +- 0.300266 (-22.700057%)  | 
                                                   |                                                    |                                                    | 
