                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.375888 +- 0.242128 (-17.781743%)  |          Lambda: 1.673458 +- 0.229451 (0.000000%)  |        Lambda: 1.359244 +- 0.228369 (-18.776330%)  |        Lambda: 1.313971 +- 0.232948 (-21.481686%)  | 
        Radius: 4.486502 +- 0.422633 (21.573691%)  |          Radius: 3.690356 +- 0.266852 (0.000000%)  |         Radius: 4.274425 +- 0.381128 (15.826901%)  |         Radius: 4.496876 +- 0.430884 (21.854802%)  | 
         Ref0: -1.133213 +- 0.145551 (63.806210%)  |          Ref0: -0.691801 +- 0.075860 (-0.000000%)  |          Ref0: -1.026425 +- 0.124261 (48.369979%)  |          Ref0: -1.120056 +- 0.137865 (61.904363%)  | 
          Imf0: 0.521979 +- 0.144661 (91.641242%)  |            Imf0: 0.272373 +- 0.049970 (0.000000%)  |           Imf0: 0.395339 +- 0.113536 (45.146178%)  |           Imf0: 0.474825 +- 0.137296 (74.328953%)  | 
           d0: 1.103837 +- 0.312000 (-38.292795%)  |              d0: 1.788830 +- 0.125331 (0.000000%)  |            d0: 1.193652 +- 0.238725 (-33.271915%)  |            d0: 1.009715 +- 0.305990 (-43.554446%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.375888 +- 0.242128 (-17.781743%)  |          Lambda: 1.673458 +- 0.229451 (0.000000%)  |        Lambda: 1.359244 +- 0.228369 (-18.776330%)  |        Lambda: 1.313971 +- 0.232948 (-21.481686%)  | 
        Radius: 4.486502 +- 0.422633 (21.573691%)  |          Radius: 3.690356 +- 0.266852 (0.000000%)  |         Radius: 4.274425 +- 0.381128 (15.826901%)  |         Radius: 4.496876 +- 0.430884 (21.854802%)  | 
         Ref0: -1.133213 +- 0.145551 (63.806210%)  |          Ref0: -0.691801 +- 0.075860 (-0.000000%)  |          Ref0: -1.026425 +- 0.124261 (48.369979%)  |          Ref0: -1.120056 +- 0.137865 (61.904363%)  | 
          Imf0: 0.521979 +- 0.144661 (91.641242%)  |            Imf0: 0.272373 +- 0.049970 (0.000000%)  |           Imf0: 0.395339 +- 0.113536 (45.146178%)  |           Imf0: 0.474825 +- 0.137296 (74.328953%)  | 
           d0: 1.103837 +- 0.312000 (-38.292795%)  |              d0: 1.788830 +- 0.125331 (0.000000%)  |            d0: 1.193652 +- 0.238725 (-33.271915%)  |            d0: 1.009715 +- 0.305990 (-43.554446%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.095295 +- 0.188023 (-39.333121%)  |          Lambda: 1.805425 +- 0.219541 (0.000000%)  |        Lambda: 1.173329 +- 0.195851 (-35.010925%)  |        Lambda: 1.066603 +- 0.191044 (-40.922331%)  | 
        Radius: 3.078431 +- 0.263471 (10.700444%)  |          Radius: 2.780866 +- 0.172933 (0.000000%)  |         Radius: 3.082114 +- 0.252859 (10.832884%)  |         Radius: 3.086039 +- 0.272518 (10.974028%)  | 
         Ref0: -1.133213 +- 0.145551 (63.806210%)  |          Ref0: -0.691801 +- 0.075860 (-0.000000%)  |          Ref0: -1.026425 +- 0.124261 (48.369979%)  |          Ref0: -1.120056 +- 0.137865 (61.904363%)  | 
          Imf0: 0.521979 +- 0.144661 (91.641242%)  |            Imf0: 0.272373 +- 0.049970 (0.000000%)  |           Imf0: 0.395339 +- 0.113536 (45.146178%)  |           Imf0: 0.474825 +- 0.137296 (74.328953%)  | 
           d0: 1.103837 +- 0.312000 (-38.292795%)  |              d0: 1.788830 +- 0.125331 (0.000000%)  |            d0: 1.193652 +- 0.238725 (-33.271915%)  |            d0: 1.009715 +- 0.305990 (-43.554446%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.095295 +- 0.188023 (-39.333121%)  |          Lambda: 1.805425 +- 0.219541 (0.000000%)  |        Lambda: 1.173329 +- 0.195851 (-35.010925%)  |        Lambda: 1.066603 +- 0.191044 (-40.922331%)  | 
        Radius: 3.078431 +- 0.263471 (10.700444%)  |          Radius: 2.780866 +- 0.172933 (0.000000%)  |         Radius: 3.082114 +- 0.252859 (10.832884%)  |         Radius: 3.086039 +- 0.272518 (10.974028%)  | 
         Ref0: -1.133213 +- 0.145551 (63.806210%)  |          Ref0: -0.691801 +- 0.075860 (-0.000000%)  |          Ref0: -1.026425 +- 0.124261 (48.369979%)  |          Ref0: -1.120056 +- 0.137865 (61.904363%)  | 
          Imf0: 0.521979 +- 0.144661 (91.641242%)  |            Imf0: 0.272373 +- 0.049970 (0.000000%)  |           Imf0: 0.395339 +- 0.113536 (45.146178%)  |           Imf0: 0.474825 +- 0.137296 (74.328953%)  | 
           d0: 1.103837 +- 0.312000 (-38.292795%)  |              d0: 1.788830 +- 0.125331 (0.000000%)  |            d0: 1.193652 +- 0.238725 (-33.271915%)  |            d0: 1.009715 +- 0.305990 (-43.554446%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 711.517  NDF = 636  Chi2/NDF = 1.119 |        Chi2 = 791.011  NDF = 636  Chi2/NDF = 1.244 |        Chi2 = 747.387  NDF = 636  Chi2/NDF = 1.175 |        Chi2 = 714.124  NDF = 636  Chi2/NDF = 1.123 | 
                                                   |                                                    |                                                    |                                                    | 
