                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.152686 +- 0.800906 (-34.986396%)  |          Lambda: 1.772992 +- 0.768491 (0.000000%)  |        Lambda: 0.950149 +- 0.759488 (-46.409854%)  | 
        Radius: 2.889516 +- 0.805025 (11.557260%)  |          Radius: 2.590164 +- 0.526267 (0.000000%)  |         Radius: 2.889536 +- 0.888785 (11.558033%)  | 
          Ref0: 0.437578 +- 0.213408 (90.254613%)  |            Ref0: 0.229996 +- 0.125654 (0.000000%)  |          Ref0: 0.492972 +- 0.205370 (114.339380%)  | 
          Imf0: 0.497665 +- 0.206742 (46.683978%)  |            Imf0: 0.339277 +- 0.120475 (0.000000%)  |           Imf0: 0.503130 +- 0.200928 (48.294756%)  | 
          d0: -4.917693 +- 2.701814 (-21.704568%)  |            d0: -6.280945 +- 2.893700 (-0.000000%)  |           d0: -4.441016 +- 2.374726 (-29.293824%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.822765 +- 0.391258 (-36.663613%)  |          Lambda: 1.299040 +- 0.381729 (0.000000%)  |        Lambda: 0.695660 +- 0.375955 (-46.448146%)  | 
        Radius: 2.889516 +- 0.805025 (11.557260%)  |          Radius: 2.590164 +- 0.526267 (0.000000%)  |         Radius: 2.889536 +- 0.888785 (11.558033%)  | 
          Ref0: 0.437578 +- 0.213408 (90.254613%)  |            Ref0: 0.229996 +- 0.125654 (0.000000%)  |          Ref0: 0.492972 +- 0.205370 (114.339380%)  | 
          Imf0: 0.497665 +- 0.206742 (46.683978%)  |            Imf0: 0.339277 +- 0.120475 (0.000000%)  |           Imf0: 0.503130 +- 0.200928 (48.294756%)  | 
          d0: -4.917693 +- 2.701814 (-21.704568%)  |            d0: -6.280945 +- 2.893700 (-0.000000%)  |           d0: -4.441016 +- 2.374726 (-29.293824%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 286.564  NDF = 288  Chi2/NDF = 0.995 |        Chi2 = 291.526  NDF = 288  Chi2/NDF = 1.012 |        Chi2 = 288.005  NDF = 288  Chi2/NDF = 1.000 | 
                                                   |                                                    |                                                    | 
