                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                                                   |                                                    |                                                    | 
        Lambda: 0.982063 +- 0.175624 (-1.004209%)  |          Lambda: 0.992025 +- 0.174094 (0.000000%)  |         Lambda: 0.983941 +- 0.173764 (-0.814899%)  | 
        Radius: 3.253556 +- 0.303983 (-0.627318%)  |          Radius: 3.274095 +- 0.298860 (0.000000%)  |         Radius: 3.257382 +- 0.300453 (-0.510462%)  | 
          Ref0: 0.522890 +- 0.133512 (-1.250585%)  |            Ref0: 0.529512 +- 0.131009 (0.000000%)  |            Ref0: 0.529709 +- 0.133328 (0.037204%)  | 
          Imf0: 0.618370 +- 0.094728 (-0.701578%)  |            Imf0: 0.622739 +- 0.092961 (0.000000%)  |            Imf0: 0.623819 +- 0.094887 (0.173427%)  | 
            d0: -3.207675 +- 1.003192 (0.585165%)  |            d0: -3.189014 +- 0.980083 (-0.000000%)  |            d0: -3.188429 +- 0.981007 (-0.018344%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.982063 +- 0.175624 (-1.004209%)  |          Lambda: 0.992025 +- 0.174094 (0.000000%)  |         Lambda: 0.983941 +- 0.173764 (-0.814899%)  | 
        Radius: 3.253556 +- 0.303983 (-0.627318%)  |          Radius: 3.274095 +- 0.298860 (0.000000%)  |         Radius: 3.257382 +- 0.300453 (-0.510462%)  | 
          Ref0: 0.522890 +- 0.133512 (-1.250585%)  |            Ref0: 0.529512 +- 0.131009 (0.000000%)  |            Ref0: 0.529709 +- 0.133328 (0.037204%)  | 
          Imf0: 0.618370 +- 0.094728 (-0.701578%)  |            Imf0: 0.622739 +- 0.092961 (0.000000%)  |            Imf0: 0.623819 +- 0.094887 (0.173427%)  | 
            d0: -3.207675 +- 1.003192 (0.585165%)  |            d0: -3.189014 +- 0.980083 (-0.000000%)  |            d0: -3.188429 +- 0.981007 (-0.018344%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1076.905  NDF = 981  Chi2/NDF = 1.098 |       Chi2 = 1077.540  NDF = 981  Chi2/NDF = 1.098 |       Chi2 = 1086.850  NDF = 981  Chi2/NDF = 1.108 | 
                                                   |                                                    |                                                    | 
