                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
          d0: -3.725228 +- 1.306904 (-23.745116%)  |            d0: -4.885232 +- 1.235676 (-0.000000%)  |           d0: -3.799105 +- 1.268400 (-22.232864%)  |           d0: -3.607305 +- 1.212670 (-26.158983%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.323747 +- 0.283781 (-22.673903%)  |          Lambda: 1.711902 +- 0.280721 (0.000000%)  |        Lambda: 1.299615 +- 0.248451 (-24.083563%)  |        Lambda: 1.269810 +- 0.271319 (-25.824609%)  | 
        Radius: 4.876520 +- 0.526439 (18.593307%)  |          Radius: 4.111969 +- 0.342795 (0.000000%)  |         Radius: 4.692855 +- 0.471512 (14.126712%)  |         Radius: 4.906268 +- 0.539168 (19.316756%)  | 
          Ref0: 0.513279 +- 0.148117 (95.823557%)  |            Ref0: 0.262113 +- 0.069491 (0.000000%)  |           Ref0: 0.453438 +- 0.134622 (72.993327%)  |           Ref0: 0.522056 +- 0.142052 (99.172113%)  | 
          Imf0: 0.588913 +- 0.126208 (50.028533%)  |            Imf0: 0.392534 +- 0.068530 (0.000000%)  |           Imf0: 0.515826 +- 0.100596 (31.409254%)  |           Imf0: 0.545754 +- 0.107966 (39.033561%)  | 
          d0: -3.725228 +- 1.306904 (-23.745116%)  |            d0: -4.885232 +- 1.235676 (-0.000000%)  |           d0: -3.799105 +- 1.268400 (-22.232864%)  |           d0: -3.607305 +- 1.212670 (-26.158983%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.097563 +- 0.230956 (-41.934305%)  |          Lambda: 1.890209 +- 0.282477 (0.000000%)  |        Lambda: 1.174662 +- 0.231823 (-37.855443%)  |        Lambda: 1.070489 +- 0.234725 (-43.366633%)  | 
         Radius: 3.425612 +- 0.341848 (8.668069%)  |          Radius: 3.152363 +- 0.236089 (0.000000%)  |         Radius: 3.473299 +- 0.332546 (10.180807%)  |          Radius: 3.439442 +- 0.357433 (9.106788%)  | 
          Ref0: 0.513279 +- 0.148117 (95.823557%)  |            Ref0: 0.262113 +- 0.069491 (0.000000%)  |           Ref0: 0.453438 +- 0.134622 (72.993327%)  |           Ref0: 0.522056 +- 0.142052 (99.172113%)  | 
          Imf0: 0.588913 +- 0.126208 (50.028533%)  |            Imf0: 0.392534 +- 0.068530 (0.000000%)  |           Imf0: 0.515826 +- 0.100596 (31.409254%)  |           Imf0: 0.545754 +- 0.107966 (39.033561%)  | 
          d0: -3.725228 +- 1.306904 (-23.745116%)  |            d0: -4.885232 +- 1.235676 (-0.000000%)  |           d0: -3.799105 +- 1.268400 (-22.232864%)  |           d0: -3.607305 +- 1.212670 (-26.158983%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.097563 +- 0.230956 (-41.934305%)  |          Lambda: 1.890209 +- 0.282477 (0.000000%)  |        Lambda: 1.174662 +- 0.231823 (-37.855443%)  |        Lambda: 1.070489 +- 0.234725 (-43.366633%)  | 
         Radius: 3.425612 +- 0.341848 (8.668069%)  |          Radius: 3.152363 +- 0.236089 (0.000000%)  |         Radius: 3.473299 +- 0.332546 (10.180807%)  |          Radius: 3.439442 +- 0.357433 (9.106788%)  | 
          Ref0: 0.513279 +- 0.148117 (95.823557%)  |            Ref0: 0.262113 +- 0.069491 (0.000000%)  |           Ref0: 0.453438 +- 0.134622 (72.993327%)  |           Ref0: 0.522056 +- 0.142052 (99.172113%)  | 
          Imf0: 0.588913 +- 0.126208 (50.028533%)  |            Imf0: 0.392534 +- 0.068530 (0.000000%)  |           Imf0: 0.515826 +- 0.100596 (31.409254%)  |           Imf0: 0.545754 +- 0.107966 (39.033561%)  | 
          d0: -3.725228 +- 1.306904 (-23.745116%)  |            d0: -4.885232 +- 1.235676 (-0.000000%)  |           d0: -3.799105 +- 1.268400 (-22.232864%)  |           d0: -3.607305 +- 1.212670 (-26.158983%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 702.127  NDF = 636  Chi2/NDF = 1.104 |        Chi2 = 766.841  NDF = 636  Chi2/NDF = 1.206 |        Chi2 = 735.637  NDF = 636  Chi2/NDF = 1.157 |        Chi2 = 704.751  NDF = 636  Chi2/NDF = 1.108 | 
                                                   |                                                    |                                                    |                                                    | 
