                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.323747 +- 0.283781 (-22.673903%)  |          Lambda: 1.711902 +- 0.280721 (0.000000%)  |        Lambda: 1.299615 +- 0.248451 (-24.083563%)  |        Lambda: 1.269810 +- 0.271319 (-25.824609%)  | 
        Radius: 4.876520 +- 0.526439 (18.593307%)  |          Radius: 4.111969 +- 0.342795 (0.000000%)  |         Radius: 4.692855 +- 0.471512 (14.126712%)  |         Radius: 4.906268 +- 0.539168 (19.316756%)  | 
         Ref0: -1.144922 +- 0.195541 (65.407175%)  |          Ref0: -0.692184 +- 0.092022 (-0.000000%)  |          Ref0: -1.076506 +- 0.145207 (55.523098%)  |          Ref0: -1.138256 +- 0.179123 (64.444136%)  | 
         Imf0: 0.717023 +- 0.172550 (105.370098%)  |            Imf0: 0.349137 +- 0.068823 (0.000000%)  |           Imf0: 0.566792 +- 0.140298 (62.340858%)  |           Imf0: 0.662982 +- 0.163969 (89.891647%)  | 
           d0: 0.828632 +- 0.460222 (-44.930418%)  |              d0: 1.504700 +- 0.169708 (0.000000%)  |            d0: 0.925640 +- 0.346930 (-38.483419%)  |            d0: 0.680584 +- 0.474924 (-54.769456%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.323747 +- 0.283781 (-22.673903%)  |          Lambda: 1.711902 +- 0.280721 (0.000000%)  |        Lambda: 1.299615 +- 0.248451 (-24.083563%)  |        Lambda: 1.269810 +- 0.271319 (-25.824609%)  | 
        Radius: 4.876520 +- 0.526439 (18.593307%)  |          Radius: 4.111969 +- 0.342795 (0.000000%)  |         Radius: 4.692855 +- 0.471512 (14.126712%)  |         Radius: 4.906268 +- 0.539168 (19.316756%)  | 
         Ref0: -1.144922 +- 0.195541 (65.407175%)  |          Ref0: -0.692184 +- 0.092022 (-0.000000%)  |          Ref0: -1.076506 +- 0.145207 (55.523098%)  |          Ref0: -1.138256 +- 0.179123 (64.444136%)  | 
         Imf0: 0.717023 +- 0.172550 (105.370098%)  |            Imf0: 0.349137 +- 0.068823 (0.000000%)  |           Imf0: 0.566792 +- 0.140298 (62.340858%)  |           Imf0: 0.662982 +- 0.163969 (89.891647%)  | 
           d0: 0.828632 +- 0.460222 (-44.930418%)  |              d0: 1.504700 +- 0.169708 (0.000000%)  |            d0: 0.925640 +- 0.346930 (-38.483419%)  |            d0: 0.680584 +- 0.474924 (-54.769456%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.097563 +- 0.230956 (-41.934305%)  |          Lambda: 1.890209 +- 0.282477 (0.000000%)  |        Lambda: 1.174662 +- 0.231823 (-37.855443%)  |        Lambda: 1.070489 +- 0.234725 (-43.366633%)  | 
         Radius: 3.425612 +- 0.341848 (8.668069%)  |          Radius: 3.152363 +- 0.236089 (0.000000%)  |         Radius: 3.473299 +- 0.332546 (10.180807%)  |          Radius: 3.439442 +- 0.357433 (9.106788%)  | 
         Ref0: -1.144922 +- 0.195541 (65.407175%)  |          Ref0: -0.692184 +- 0.092022 (-0.000000%)  |          Ref0: -1.076506 +- 0.145207 (55.523098%)  |          Ref0: -1.138256 +- 0.179123 (64.444136%)  | 
         Imf0: 0.717023 +- 0.172550 (105.370098%)  |            Imf0: 0.349137 +- 0.068823 (0.000000%)  |           Imf0: 0.566792 +- 0.140298 (62.340858%)  |           Imf0: 0.662982 +- 0.163969 (89.891647%)  | 
           d0: 0.828632 +- 0.460222 (-44.930418%)  |              d0: 1.504700 +- 0.169708 (0.000000%)  |            d0: 0.925640 +- 0.346930 (-38.483419%)  |            d0: 0.680584 +- 0.474924 (-54.769456%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.097563 +- 0.230956 (-41.934305%)  |          Lambda: 1.890209 +- 0.282477 (0.000000%)  |        Lambda: 1.174662 +- 0.231823 (-37.855443%)  |        Lambda: 1.070489 +- 0.234725 (-43.366633%)  | 
         Radius: 3.425612 +- 0.341848 (8.668069%)  |          Radius: 3.152363 +- 0.236089 (0.000000%)  |         Radius: 3.473299 +- 0.332546 (10.180807%)  |          Radius: 3.439442 +- 0.357433 (9.106788%)  | 
         Ref0: -1.144922 +- 0.195541 (65.407175%)  |          Ref0: -0.692184 +- 0.092022 (-0.000000%)  |          Ref0: -1.076506 +- 0.145207 (55.523098%)  |          Ref0: -1.138256 +- 0.179123 (64.444136%)  | 
         Imf0: 0.717023 +- 0.172550 (105.370098%)  |            Imf0: 0.349137 +- 0.068823 (0.000000%)  |           Imf0: 0.566792 +- 0.140298 (62.340858%)  |           Imf0: 0.662982 +- 0.163969 (89.891647%)  | 
           d0: 0.828632 +- 0.460222 (-44.930418%)  |              d0: 1.504700 +- 0.169708 (0.000000%)  |            d0: 0.925640 +- 0.346930 (-38.483419%)  |            d0: 0.680584 +- 0.474924 (-54.769456%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 702.127  NDF = 636  Chi2/NDF = 1.104 |        Chi2 = 766.841  NDF = 636  Chi2/NDF = 1.206 |        Chi2 = 735.637  NDF = 636  Chi2/NDF = 1.157 |        Chi2 = 704.751  NDF = 636  Chi2/NDF = 1.108 | 
                                                   |                                                    |                                                    |                                                    | 
