                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                                                   |                                                    |                                                    | 
         Lambda: 1.273779 +- 0.987287 (0.146078%)  |          Lambda: 1.271921 +- 0.877108 (0.000000%)  |          Lambda: 1.301266 +- 1.018435 (2.307140%)  | 
         Radius: 3.082740 +- 0.879692 (0.345722%)  |          Radius: 3.072119 +- 0.816042 (0.000000%)  |          Radius: 3.094409 +- 0.852571 (0.725558%)  | 
           Ref0: 0.520424 +- 0.215935 (4.920174%)  |            Ref0: 0.496019 +- 0.219301 (0.000000%)  |            Ref0: 0.504432 +- 0.210165 (1.696104%)  | 
           Imf0: 0.543356 +- 0.221315 (5.791966%)  |            Imf0: 0.513608 +- 0.195255 (0.000000%)  |           Imf0: 0.509577 +- 0.233023 (-0.784840%)  | 
           d0: -4.659329 +- 2.376349 (-5.166484%)  |            d0: -4.913167 +- 2.445847 (-0.000000%)  |            d0: -4.908381 +- 2.729748 (-0.097412%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.894796 +- 0.456766 (-0.342699%)  |          Lambda: 0.897873 +- 0.409076 (0.000000%)  |          Lambda: 0.910851 +- 0.466698 (1.445416%)  | 
         Radius: 3.082740 +- 0.879692 (0.345722%)  |          Radius: 3.072119 +- 0.816042 (0.000000%)  |          Radius: 3.094409 +- 0.852571 (0.725558%)  | 
           Ref0: 0.520424 +- 0.215935 (4.920174%)  |            Ref0: 0.496019 +- 0.219301 (0.000000%)  |            Ref0: 0.504432 +- 0.210165 (1.696104%)  | 
           Imf0: 0.543356 +- 0.221315 (5.791966%)  |            Imf0: 0.513608 +- 0.195255 (0.000000%)  |           Imf0: 0.509577 +- 0.233023 (-0.784840%)  | 
           d0: -4.659329 +- 2.376349 (-5.166484%)  |            d0: -4.913167 +- 2.445847 (-0.000000%)  |            d0: -4.908381 +- 2.729748 (-0.097412%)  | 
                                                   |                                                    |                                                    | 
