                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
        Lambda: 0.746131 +- 0.173489 (-2.722890%)  |          Lambda: 0.767016 +- 0.172227 (0.000000%)  |          Lambda: 0.770604 +- 0.172999 (0.467787%)  | 
        Radius: 3.279597 +- 0.363973 (-1.189815%)  |          Radius: 3.319088 +- 0.359449 (0.000000%)  |          Radius: 3.326203 +- 0.360919 (0.214366%)  | 
          Ref0: -0.939905 +- 0.170553 (0.198819%)  |          Ref0: -0.938040 +- 0.159370 (-0.000000%)  |          Ref0: -0.936018 +- 0.158825 (-0.215556%)  | 
           Imf0: 0.655154 +- 0.159562 (2.295726%)  |            Imf0: 0.640451 +- 0.151719 (0.000000%)  |            Imf0: 0.642644 +- 0.151574 (0.342415%)  | 
            d0: 0.677799 +- 0.481801 (-0.797224%)  |              d0: 0.683246 +- 0.461899 (0.000000%)  |             d0: 0.681611 +- 0.463757 (-0.239299%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.746131 +- 0.173489 (-2.722890%)  |          Lambda: 0.767016 +- 0.172227 (0.000000%)  |          Lambda: 0.770604 +- 0.172999 (0.467787%)  | 
        Radius: 3.279597 +- 0.363973 (-1.189815%)  |          Radius: 3.319088 +- 0.359449 (0.000000%)  |          Radius: 3.326203 +- 0.360919 (0.214366%)  | 
          Ref0: -0.939905 +- 0.170553 (0.198819%)  |          Ref0: -0.938040 +- 0.159370 (-0.000000%)  |          Ref0: -0.936018 +- 0.158825 (-0.215556%)  | 
           Imf0: 0.655154 +- 0.159562 (2.295726%)  |            Imf0: 0.640451 +- 0.151719 (0.000000%)  |            Imf0: 0.642644 +- 0.151574 (0.342415%)  | 
            d0: 0.677799 +- 0.481801 (-0.797224%)  |              d0: 0.683246 +- 0.461899 (0.000000%)  |             d0: 0.681611 +- 0.463757 (-0.239299%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 707.486  NDF = 636  Chi2/NDF = 1.112 |        Chi2 = 703.841  NDF = 636  Chi2/NDF = 1.107 |        Chi2 = 708.065  NDF = 636  Chi2/NDF = 1.113 | 
                                                   |                                                    |                                                    | 
