                 CLAM_maxDcaV0Daughters = 0.300000 |                  CLAM_maxDcaV0Daughters = 0.400000 |                  CLAM_maxDcaV0Daughters = 0.500000 | 
       Lambda: 0.863470 +- 0.202107 (-11.805502%)  |          Lambda: 0.979052 +- 0.233998 (0.000000%)  |          Lambda: 1.024237 +- 0.198194 (4.615179%)  | 
         Radius: 3.539109 +- 0.406803 (1.371669%)  |          Radius: 3.491221 +- 0.427327 (0.000000%)  |          Radius: 3.495423 +- 0.420794 (0.120359%)  | 
         Ref0: -0.586616 +- 0.140264 (18.149776%)  |          Ref0: -0.496502 +- 0.124570 (-0.000000%)  |          Ref0: -0.473350 +- 0.080669 (-4.663023%)  | 
          Imf0: 0.497212 +- 0.151563 (17.205338%)  |            Imf0: 0.424223 +- 0.190228 (0.000000%)  |           Imf0: 0.402903 +- 0.161372 (-5.025659%)  | 
          d0: 0.350461 +- 1.050113 (-166.694261%)  |            d0: -0.525474 +- 1.600517 (-0.000000%)  |            d0: -0.742946 +- 1.301738 (41.385873%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.863470 +- 0.202107 (-11.805502%)  |          Lambda: 0.979052 +- 0.233998 (0.000000%)  |          Lambda: 1.024237 +- 0.198194 (4.615179%)  | 
         Radius: 3.539109 +- 0.406803 (1.371669%)  |          Radius: 3.491221 +- 0.427327 (0.000000%)  |          Radius: 3.495423 +- 0.420794 (0.120359%)  | 
         Ref0: -0.586616 +- 0.140264 (18.149776%)  |          Ref0: -0.496502 +- 0.124570 (-0.000000%)  |          Ref0: -0.473350 +- 0.080669 (-4.663023%)  | 
          Imf0: 0.497212 +- 0.151563 (17.205338%)  |            Imf0: 0.424223 +- 0.190228 (0.000000%)  |           Imf0: 0.402903 +- 0.161372 (-5.025659%)  | 
          d0: 0.350461 +- 1.050113 (-166.694261%)  |            d0: -0.525474 +- 1.600517 (-0.000000%)  |            d0: -0.742946 +- 1.301738 (41.385873%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1089.665  NDF = 981  Chi2/NDF = 1.111 |       Chi2 = 1088.669  NDF = 981  Chi2/NDF = 1.110 |       Chi2 = 1085.982  NDF = 981  Chi2/NDF = 1.107 | 
                                                   |                                                    |                                                    | 
