                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
        Lambda: 1.114835 +- 0.299350 (-0.266235%)  |          Lambda: 1.117811 +- 0.293441 (0.000000%)  |          Lambda: 1.131036 +- 0.296968 (1.183116%)  | 
        Radius: 3.252004 +- 0.458747 (-1.334142%)  |          Radius: 3.295977 +- 0.457431 (0.000000%)  |          Radius: 3.310097 +- 0.455255 (0.428401%)  | 
         Ref0: -1.060333 +- 0.151357 (-0.614404%)  |          Ref0: -1.066888 +- 0.140998 (-0.000000%)  |           Ref0: -1.081081 +- 0.139922 (1.330318%)  | 
          Imf0: 0.571318 +- 0.310856 (-3.253513%)  |            Imf0: 0.590531 +- 0.315055 (0.000000%)  |            Imf0: 0.600700 +- 0.307585 (1.722010%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.034823 +- 0.281747 (-2.203584%)  |          Lambda: 1.058140 +- 0.281656 (0.000000%)  |         Lambda: 1.047175 +- 0.279679 (-1.036252%)  | 
        Radius: 3.252004 +- 0.458747 (-1.334142%)  |          Radius: 3.295977 +- 0.457431 (0.000000%)  |          Radius: 3.310097 +- 0.455255 (0.428401%)  | 
         Ref0: -1.060333 +- 0.151357 (-0.614404%)  |          Ref0: -1.066888 +- 0.140998 (-0.000000%)  |           Ref0: -1.081081 +- 0.139922 (1.330318%)  | 
          Imf0: 0.571318 +- 0.310856 (-3.253513%)  |            Imf0: 0.590531 +- 0.315055 (0.000000%)  |            Imf0: 0.600700 +- 0.307585 (1.722010%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 442.962  NDF = 337  Chi2/NDF = 1.314 |        Chi2 = 436.522  NDF = 337  Chi2/NDF = 1.295 |        Chi2 = 433.736  NDF = 337  Chi2/NDF = 1.287 | 
                                                   |                                                    |                                                    | 
