                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
        Lambda: 1.178235 +- 0.316227 (-0.794329%)  |          Lambda: 1.187669 +- 0.316701 (0.000000%)  |         Lambda: 1.174132 +- 0.315242 (-1.139796%)  | 
        Radius: 3.209419 +- 0.442373 (-0.820986%)  |          Radius: 3.235986 +- 0.450973 (0.000000%)  |         Radius: 3.214168 +- 0.460017 (-0.674230%)  | 
          Ref0: -0.848969 +- 0.137536 (0.580045%)  |          Ref0: -0.844073 +- 0.131479 (-0.000000%)  |           Ref0: -0.846612 +- 0.130929 (0.300803%)  | 
          Imf0: 0.491128 +- 0.241765 (-0.601699%)  |            Imf0: 0.494101 +- 0.246511 (0.000000%)  |           Imf0: 0.492675 +- 0.261071 (-0.288605%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.092139 +- 0.295995 (-2.460418%)  |          Lambda: 1.119688 +- 0.300095 (0.000000%)  |         Lambda: 1.098017 +- 0.296060 (-1.935450%)  | 
        Radius: 3.209419 +- 0.442373 (-0.820986%)  |          Radius: 3.235986 +- 0.450973 (0.000000%)  |         Radius: 3.214168 +- 0.460017 (-0.674230%)  | 
          Ref0: -0.848969 +- 0.137536 (0.580045%)  |          Ref0: -0.844073 +- 0.131479 (-0.000000%)  |           Ref0: -0.846612 +- 0.130929 (0.300803%)  | 
          Imf0: 0.491128 +- 0.241765 (-0.601699%)  |            Imf0: 0.494101 +- 0.246511 (0.000000%)  |           Imf0: 0.492675 +- 0.261071 (-0.288605%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 438.664  NDF = 337  Chi2/NDF = 1.302 |        Chi2 = 431.346  NDF = 337  Chi2/NDF = 1.280 |        Chi2 = 433.753  NDF = 337  Chi2/NDF = 1.287 | 
                                                   |                                                    |                                                    | 
