                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                                                   |                                                    |                                                    | 
        Lambda: 1.292239 +- 0.871528 (-0.558677%)  |          Lambda: 1.299499 +- 0.822937 (0.000000%)  |          Lambda: 1.326736 +- 0.870117 (2.095962%)  | 
         Radius: 2.974878 +- 0.814252 (0.240520%)  |          Radius: 2.967740 +- 0.793749 (0.000000%)  |          Radius: 2.992370 +- 0.782352 (0.829924%)  | 
           Ref0: 0.407039 +- 0.197375 (4.436724%)  |            Ref0: 0.389747 +- 0.205704 (0.000000%)  |            Ref0: 0.398529 +- 0.190204 (2.253257%)  | 
           Imf0: 0.459411 +- 0.174969 (5.582598%)  |            Imf0: 0.435120 +- 0.170726 (0.000000%)  |           Imf0: 0.433457 +- 0.170542 (-0.382193%)  | 
           d0: -5.363823 +- 2.697777 (-5.119640%)  |            d0: -5.653249 +- 2.952324 (-0.000000%)  |            d0: -5.632621 +- 2.876833 (-0.364888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.865991 +- 0.393048 (-0.716545%)  |          Lambda: 0.872241 +- 0.372141 (0.000000%)  |          Lambda: 0.884186 +- 0.387978 (1.369461%)  | 
         Radius: 2.974878 +- 0.814252 (0.240520%)  |          Radius: 2.967740 +- 0.793749 (0.000000%)  |          Radius: 2.992370 +- 0.782352 (0.829924%)  | 
           Ref0: 0.407039 +- 0.197375 (4.436724%)  |            Ref0: 0.389747 +- 0.205704 (0.000000%)  |            Ref0: 0.398529 +- 0.190204 (2.253257%)  | 
           Imf0: 0.459411 +- 0.174969 (5.582598%)  |            Imf0: 0.435120 +- 0.170726 (0.000000%)  |           Imf0: 0.433457 +- 0.170542 (-0.382193%)  | 
           d0: -5.363823 +- 2.697777 (-5.119640%)  |            d0: -5.653249 +- 2.952324 (-0.000000%)  |            d0: -5.632621 +- 2.876833 (-0.364888%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 289.079  NDF = 288  Chi2/NDF = 1.004 |        Chi2 = 295.047  NDF = 288  Chi2/NDF = 1.024 |        Chi2 = 298.545  NDF = 288  Chi2/NDF = 1.037 | 
                                                   |                                                    |                                                    | 
