                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.429626 +- 0.792218 (-36.989542%)  |          Lambda: 2.268871 +- 0.727524 (0.000000%)  |        Lambda: 1.456680 +- 0.765873 (-35.797143%)  | 
        Radius: 3.070073 +- 0.652449 (20.772493%)  |          Radius: 2.542030 +- 0.399483 (0.000000%)  |         Radius: 2.943246 +- 0.625695 (15.783291%)  | 
         Ref0: 0.493074 +- 0.189607 (137.164268%)  |            Ref0: 0.207904 +- 0.099720 (0.000000%)  |          Ref0: 0.452892 +- 0.183343 (117.837079%)  | 
          Imf0: 0.535892 +- 0.162685 (56.987805%)  |            Imf0: 0.341359 +- 0.095611 (0.000000%)  |           Imf0: 0.483698 +- 0.143030 (41.697743%)  | 
          d0: -4.310864 +- 1.847272 (-26.360004%)  |            d0: -5.853971 +- 2.132967 (-0.000000%)  |           d0: -4.443751 +- 1.938674 (-24.089972%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.889809 +- 0.328502 (-43.357027%)  |          Lambda: 1.570908 +- 0.336610 (0.000000%)  |        Lambda: 0.954563 +- 0.329972 (-39.234952%)  | 
        Radius: 3.070073 +- 0.652449 (20.772493%)  |          Radius: 2.542030 +- 0.399483 (0.000000%)  |         Radius: 2.943246 +- 0.625695 (15.783291%)  | 
         Ref0: 0.493074 +- 0.189607 (137.164268%)  |            Ref0: 0.207904 +- 0.099720 (0.000000%)  |          Ref0: 0.452892 +- 0.183343 (117.837079%)  | 
          Imf0: 0.535892 +- 0.162685 (56.987805%)  |            Imf0: 0.341359 +- 0.095611 (0.000000%)  |           Imf0: 0.483698 +- 0.143030 (41.697743%)  | 
          d0: -4.310864 +- 1.847272 (-26.360004%)  |            d0: -5.853971 +- 2.132967 (-0.000000%)  |           d0: -4.443751 +- 1.938674 (-24.089972%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 283.005  NDF = 288  Chi2/NDF = 0.983 |        Chi2 = 307.252  NDF = 288  Chi2/NDF = 1.067 |        Chi2 = 296.025  NDF = 288  Chi2/NDF = 1.028 | 
                                                   |                                                    |                                                    | 
