                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.184532 +- 0.312009 (-31.784901%)  |          Lambda: 1.736466 +- 0.380111 (0.000000%)  |        Lambda: 1.470041 +- 0.384024 (-15.342944%)  | 
        Radius: 3.368830 +- 0.440210 (15.106304%)  |          Radius: 2.926712 +- 0.293270 (0.000000%)  |         Radius: 3.220701 +- 0.399121 (10.045027%)  | 
         Ref0: -1.313761 +- 0.273665 (67.043791%)  |          Ref0: -0.786477 +- 0.140464 (-0.000000%)  |          Ref0: -1.039078 +- 0.244062 (32.118040%)  | 
          Imf0: 0.552032 +- 0.306092 (93.372473%)  |            Imf0: 0.285476 +- 0.080621 (0.000000%)  |           Imf0: 0.277506 +- 0.164763 (-2.791828%)  | 
           d0: 1.001384 +- 0.542496 (-35.025947%)  |              d0: 1.541206 +- 0.166065 (0.000000%)  |            d0: 1.026019 +- 0.315413 (-33.427524%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.094534 +- 0.287803 (-24.803754%)  |          Lambda: 1.455570 +- 0.324284 (0.000000%)  |        Lambda: 1.224843 +- 0.326828 (-15.851316%)  | 
        Radius: 3.368830 +- 0.440210 (15.106304%)  |          Radius: 2.926712 +- 0.293270 (0.000000%)  |         Radius: 3.220701 +- 0.399121 (10.045027%)  | 
         Ref0: -1.313761 +- 0.273665 (67.043791%)  |          Ref0: -0.786477 +- 0.140464 (-0.000000%)  |          Ref0: -1.039078 +- 0.244062 (32.118040%)  | 
          Imf0: 0.552032 +- 0.306092 (93.372473%)  |            Imf0: 0.285476 +- 0.080621 (0.000000%)  |           Imf0: 0.277506 +- 0.164763 (-2.791828%)  | 
           d0: 1.001384 +- 0.542496 (-35.025947%)  |              d0: 1.541206 +- 0.166065 (0.000000%)  |            d0: 1.026019 +- 0.315413 (-33.427524%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 410.533  NDF = 336  Chi2/NDF = 1.222 |        Chi2 = 426.797  NDF = 336  Chi2/NDF = 1.270 |        Chi2 = 416.940  NDF = 336  Chi2/NDF = 1.241 | 
                                                   |                                                    |                                                    | 
