                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                                                   |                                                    |                                                    | 
        Lambda: 1.023239 +- 0.199339 (-1.389381%)  |          Lambda: 1.037656 +- 0.200084 (0.000000%)  |          Lambda: 1.039904 +- 0.200677 (0.216642%)  | 
        Radius: 3.042051 +- 0.301836 (-0.759655%)  |          Radius: 3.065337 +- 0.294059 (0.000000%)  |          Radius: 3.078124 +- 0.295877 (0.417148%)  | 
          Ref0: 0.345781 +- 0.127105 (-1.997013%)  |            Ref0: 0.352827 +- 0.121325 (0.000000%)  |            Ref0: 0.355835 +- 0.121894 (0.852542%)  | 
          Imf0: 0.425133 +- 0.103208 (-0.967882%)  |            Imf0: 0.429288 +- 0.101770 (0.000000%)  |            Imf0: 0.431553 +- 0.101557 (0.527618%)  | 
            d0: -4.761809 +- 1.702613 (2.760222%)  |            d0: -4.633903 +- 1.644587 (-0.000000%)  |            d0: -4.594754 +- 1.609003 (-0.844839%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.023239 +- 0.199339 (-1.389381%)  |          Lambda: 1.037656 +- 0.200084 (0.000000%)  |          Lambda: 1.039904 +- 0.200677 (0.216642%)  | 
        Radius: 3.042051 +- 0.301836 (-0.759655%)  |          Radius: 3.065337 +- 0.294059 (0.000000%)  |          Radius: 3.078124 +- 0.295877 (0.417148%)  | 
          Ref0: 0.345781 +- 0.127105 (-1.997013%)  |            Ref0: 0.352827 +- 0.121325 (0.000000%)  |            Ref0: 0.355835 +- 0.121894 (0.852542%)  | 
          Imf0: 0.425133 +- 0.103208 (-0.967882%)  |            Imf0: 0.429288 +- 0.101770 (0.000000%)  |            Imf0: 0.431553 +- 0.101557 (0.527618%)  | 
            d0: -4.761809 +- 1.702613 (2.760222%)  |            d0: -4.633903 +- 1.644587 (-0.000000%)  |            d0: -4.594754 +- 1.609003 (-0.844839%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 729.471  NDF = 636  Chi2/NDF = 1.147 |        Chi2 = 727.714  NDF = 636  Chi2/NDF = 1.144 |        Chi2 = 726.089  NDF = 636  Chi2/NDF = 1.142 | 
                                                   |                                                    |                                                    | 
