                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
        Lambda: 1.023239 +- 0.199339 (-1.389381%)  |          Lambda: 1.037656 +- 0.200084 (0.000000%)  |          Lambda: 1.039904 +- 0.200677 (0.216642%)  | 
        Radius: 3.042051 +- 0.301836 (-0.759655%)  |          Radius: 3.065337 +- 0.294059 (0.000000%)  |          Radius: 3.078124 +- 0.295877 (0.417148%)  | 
         Ref0: -1.043533 +- 0.139489 (-0.745408%)  |          Ref0: -1.051370 +- 0.140680 (-0.000000%)  |           Ref0: -1.059129 +- 0.141861 (0.737989%)  | 
          Imf0: 0.436546 +- 0.143326 (-1.542674%)  |            Imf0: 0.443386 +- 0.138876 (0.000000%)  |            Imf0: 0.449423 +- 0.140323 (1.361568%)  | 
            d0: 1.047913 +- 0.289425 (-0.031958%)  |              d0: 1.048248 +- 0.294216 (0.000000%)  |             d0: 1.040984 +- 0.300928 (-0.692966%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.023239 +- 0.199339 (-1.389381%)  |          Lambda: 1.037656 +- 0.200084 (0.000000%)  |          Lambda: 1.039904 +- 0.200677 (0.216642%)  | 
        Radius: 3.042051 +- 0.301836 (-0.759655%)  |          Radius: 3.065337 +- 0.294059 (0.000000%)  |          Radius: 3.078124 +- 0.295877 (0.417148%)  | 
         Ref0: -1.043533 +- 0.139489 (-0.745408%)  |          Ref0: -1.051370 +- 0.140680 (-0.000000%)  |           Ref0: -1.059129 +- 0.141861 (0.737989%)  | 
          Imf0: 0.436546 +- 0.143326 (-1.542674%)  |            Imf0: 0.443386 +- 0.138876 (0.000000%)  |            Imf0: 0.449423 +- 0.140323 (1.361568%)  | 
            d0: 1.047913 +- 0.289425 (-0.031958%)  |              d0: 1.048248 +- 0.294216 (0.000000%)  |             d0: 1.040984 +- 0.300928 (-0.692966%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 729.471  NDF = 636  Chi2/NDF = 1.147 |        Chi2 = 727.714  NDF = 636  Chi2/NDF = 1.144 |        Chi2 = 726.089  NDF = 636  Chi2/NDF = 1.142 | 
                                                   |                                                    |                                                    | 
