                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
        Lambda: 1.129368 +- 0.308684 (-0.542567%)  |          Lambda: 1.135529 +- 0.303437 (0.000000%)  |          Lambda: 1.149221 +- 0.308280 (1.205782%)  | 
        Radius: 3.200338 +- 0.431563 (-1.513607%)  |          Radius: 3.249523 +- 0.422844 (0.000000%)  |          Radius: 3.272817 +- 0.433645 (0.716844%)  | 
         Ref0: -1.275120 +- 0.287423 (-0.331727%)  |          Ref0: -1.279364 +- 0.276647 (-0.000000%)  |           Ref0: -1.298170 +- 0.288698 (1.469949%)  | 
          Imf0: 0.507955 +- 0.313752 (-5.741203%)  |            Imf0: 0.538894 +- 0.297180 (0.000000%)  |            Imf0: 0.560910 +- 0.315070 (4.085405%)  | 
             d0: 1.112596 +- 0.473873 (0.512502%)  |              d0: 1.106923 +- 0.477066 (0.000000%)  |              d0: 1.111545 +- 0.512998 (0.417554%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.047866 +- 0.290621 (-2.448139%)  |          Lambda: 1.074163 +- 0.291372 (0.000000%)  |         Lambda: 1.062893 +- 0.290303 (-1.049189%)  | 
        Radius: 3.200338 +- 0.431563 (-1.513607%)  |          Radius: 3.249523 +- 0.422844 (0.000000%)  |          Radius: 3.272817 +- 0.433645 (0.716844%)  | 
         Ref0: -1.275120 +- 0.287423 (-0.331727%)  |          Ref0: -1.279364 +- 0.276647 (-0.000000%)  |           Ref0: -1.298170 +- 0.288698 (1.469949%)  | 
          Imf0: 0.507955 +- 0.313752 (-5.741203%)  |            Imf0: 0.538894 +- 0.297180 (0.000000%)  |            Imf0: 0.560910 +- 0.315070 (4.085405%)  | 
             d0: 1.112596 +- 0.473873 (0.512502%)  |              d0: 1.106923 +- 0.477066 (0.000000%)  |              d0: 1.111545 +- 0.512998 (0.417554%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 446.039  NDF = 336  Chi2/NDF = 1.327 |        Chi2 = 439.749  NDF = 336  Chi2/NDF = 1.309 |        Chi2 = 437.002  NDF = 336  Chi2/NDF = 1.301 | 
                                                   |                                                    |                                                    | 
