                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
        Lambda: 0.641117 +- 0.165148 (-3.351042%)  |          Lambda: 0.663346 +- 0.166642 (0.000000%)  |          Lambda: 0.668149 +- 0.169849 (0.724057%)  | 
        Radius: 3.350875 +- 0.430312 (-1.620143%)  |          Radius: 3.406058 +- 0.426311 (0.000000%)  |          Radius: 3.419805 +- 0.437929 (0.403604%)  | 
          Ref0: -0.673846 +- 0.138944 (0.570577%)  |          Ref0: -0.670023 +- 0.130926 (-0.000000%)  |          Ref0: -0.665782 +- 0.131905 (-0.632963%)  | 
           Imf0: 0.586773 +- 0.144483 (1.338987%)  |            Imf0: 0.579020 +- 0.137295 (0.000000%)  |            Imf0: 0.584304 +- 0.140039 (0.912576%)  | 
            d0: 0.819098 +- 0.454065 (-2.206712%)  |              d0: 0.837581 +- 0.438121 (0.000000%)  |             d0: 0.836004 +- 0.438793 (-0.188280%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.641117 +- 0.165148 (-3.351042%)  |          Lambda: 0.663346 +- 0.166642 (0.000000%)  |          Lambda: 0.668149 +- 0.169849 (0.724057%)  | 
        Radius: 3.350875 +- 0.430312 (-1.620143%)  |          Radius: 3.406058 +- 0.426311 (0.000000%)  |          Radius: 3.419805 +- 0.437929 (0.403604%)  | 
          Ref0: -0.673846 +- 0.138944 (0.570577%)  |          Ref0: -0.670023 +- 0.130926 (-0.000000%)  |          Ref0: -0.665782 +- 0.131905 (-0.632963%)  | 
           Imf0: 0.586773 +- 0.144483 (1.338987%)  |            Imf0: 0.579020 +- 0.137295 (0.000000%)  |            Imf0: 0.584304 +- 0.140039 (0.912576%)  | 
            d0: 0.819098 +- 0.454065 (-2.206712%)  |              d0: 0.837581 +- 0.438121 (0.000000%)  |             d0: 0.836004 +- 0.438793 (-0.188280%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 708.359  NDF = 636  Chi2/NDF = 1.114 |        Chi2 = 704.725  NDF = 636  Chi2/NDF = 1.108 |        Chi2 = 708.635  NDF = 636  Chi2/NDF = 1.114 | 
                                                   |                                                    |                                                    | 
