                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
        Lambda: 1.016860 +- 0.186770 (-1.743164%)  |          Lambda: 1.034900 +- 0.187477 (0.000000%)  |          Lambda: 1.035809 +- 0.191055 (0.087835%)  | 
        Radius: 3.039139 +- 0.271903 (-0.602669%)  |          Radius: 3.057566 +- 0.271809 (0.000000%)  |          Radius: 3.059694 +- 0.275857 (0.069598%)  | 
          Ref0: -1.117646 +- 0.141808 (0.124434%)  |          Ref0: -1.116257 +- 0.137261 (-0.000000%)  |           Ref0: -1.117665 +- 0.139585 (0.126136%)  | 
           Imf0: 0.495536 +- 0.141007 (3.525460%)  |            Imf0: 0.478661 +- 0.135313 (0.000000%)  |           Imf0: 0.478427 +- 0.137810 (-0.048886%)  | 
            d0: 1.041606 +- 0.312243 (-0.401699%)  |              d0: 1.045807 +- 0.301466 (0.000000%)  |              d0: 1.048577 +- 0.303644 (0.264867%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.016860 +- 0.186770 (-1.743164%)  |          Lambda: 1.034900 +- 0.187477 (0.000000%)  |          Lambda: 1.035809 +- 0.191055 (0.087835%)  | 
        Radius: 3.039139 +- 0.271903 (-0.602669%)  |          Radius: 3.057566 +- 0.271809 (0.000000%)  |          Radius: 3.059694 +- 0.275857 (0.069598%)  | 
          Ref0: -1.117646 +- 0.141808 (0.124434%)  |          Ref0: -1.116257 +- 0.137261 (-0.000000%)  |           Ref0: -1.117665 +- 0.139585 (0.126136%)  | 
           Imf0: 0.495536 +- 0.141007 (3.525460%)  |            Imf0: 0.478661 +- 0.135313 (0.000000%)  |           Imf0: 0.478427 +- 0.137810 (-0.048886%)  | 
            d0: 1.041606 +- 0.312243 (-0.401699%)  |              d0: 1.045807 +- 0.301466 (0.000000%)  |              d0: 1.048577 +- 0.303644 (0.264867%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 715.701  NDF = 636  Chi2/NDF = 1.125 |        Chi2 = 712.240  NDF = 636  Chi2/NDF = 1.120 |        Chi2 = 716.584  NDF = 636  Chi2/NDF = 1.127 | 
                                                   |                                                    |                                                    | 
