                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
        Lambda: 0.970265 +- 0.289286 (-0.572933%)  |          Lambda: 0.975856 +- 0.286502 (0.000000%)  |          Lambda: 0.987450 +- 0.287585 (1.188085%)  | 
        Radius: 3.405473 +- 0.504208 (-1.386793%)  |          Radius: 3.453364 +- 0.497136 (0.000000%)  |          Radius: 3.475138 +- 0.507651 (0.630516%)  | 
         Ref0: -1.438948 +- 0.403268 (-0.011326%)  |          Ref0: -1.439111 +- 0.407380 (-0.000000%)  |           Ref0: -1.461000 +- 0.388044 (1.521008%)  | 
          Imf0: 0.634087 +- 0.385701 (-4.705462%)  |            Imf0: 0.665397 +- 0.373258 (0.000000%)  |            Imf0: 0.685304 +- 0.393467 (2.991748%)  | 
             d0: 1.057558 +- 0.780848 (0.699190%)  |              d0: 1.050215 +- 0.811328 (0.000000%)  |              d0: 1.070101 +- 0.809028 (1.893517%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.913637 +- 0.275112 (-2.531455%)  |          Lambda: 0.937366 +- 0.278081 (0.000000%)  |         Lambda: 0.927651 +- 0.273463 (-1.036415%)  | 
        Radius: 3.405473 +- 0.504208 (-1.386793%)  |          Radius: 3.453364 +- 0.497136 (0.000000%)  |          Radius: 3.475138 +- 0.507651 (0.630516%)  | 
         Ref0: -1.438948 +- 0.403268 (-0.011326%)  |          Ref0: -1.439111 +- 0.407380 (-0.000000%)  |           Ref0: -1.461000 +- 0.388044 (1.521008%)  | 
          Imf0: 0.634087 +- 0.385701 (-4.705462%)  |            Imf0: 0.665397 +- 0.373258 (0.000000%)  |            Imf0: 0.685304 +- 0.393467 (2.991748%)  | 
             d0: 1.057558 +- 0.780848 (0.699190%)  |              d0: 1.050215 +- 0.811328 (0.000000%)  |              d0: 1.070101 +- 0.809028 (1.893517%)  | 
                                                   |                                                    |                                                    | 
