                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
        Lambda: 1.309883 +- 0.327333 (-0.216192%)  |          Lambda: 1.312721 +- 0.321301 (0.000000%)  |          Lambda: 1.328808 +- 0.325013 (1.225470%)  | 
        Radius: 3.060816 +- 0.393139 (-1.314075%)  |          Radius: 3.101573 +- 0.388316 (0.000000%)  |          Radius: 3.116905 +- 0.392012 (0.494330%)  | 
         Ref0: -0.915717 +- 0.132155 (-0.703531%)  |          Ref0: -0.922205 +- 0.130416 (-0.000000%)  |           Ref0: -0.935797 +- 0.130370 (1.473859%)  | 
          Imf0: 0.506351 +- 0.241331 (-2.826070%)  |            Imf0: 0.521077 +- 0.239294 (0.000000%)  |            Imf0: 0.530420 +- 0.245645 (1.793017%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.209338 +- 0.306881 (-2.214715%)  |          Lambda: 1.236728 +- 0.307731 (0.000000%)  |         Lambda: 1.223925 +- 0.305407 (-1.035232%)  | 
        Radius: 3.060816 +- 0.393139 (-1.314075%)  |          Radius: 3.101573 +- 0.388316 (0.000000%)  |          Radius: 3.116905 +- 0.392012 (0.494330%)  | 
         Ref0: -0.915717 +- 0.132155 (-0.703531%)  |          Ref0: -0.922205 +- 0.130416 (-0.000000%)  |           Ref0: -0.935797 +- 0.130370 (1.473859%)  | 
          Imf0: 0.506351 +- 0.241331 (-2.826070%)  |            Imf0: 0.521077 +- 0.239294 (0.000000%)  |            Imf0: 0.530420 +- 0.245645 (1.793017%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 449.298  NDF = 337  Chi2/NDF = 1.333 |        Chi2 = 442.821  NDF = 337  Chi2/NDF = 1.314 |        Chi2 = 439.939  NDF = 337  Chi2/NDF = 1.305 | 
                                                   |                                                    |                                                    | 
