                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 0.964158 +- 0.689270 (-29.399127%)  |          Lambda: 1.365646 +- 0.898150 (0.000000%)  |        Lambda: 0.863390 +- 0.789094 (-36.777906%)  | 
        Radius: 2.331215 +- 0.514016 (25.249765%)  |          Radius: 1.861253 +- 0.341886 (0.000000%)  |         Radius: 2.294159 +- 0.540020 (23.258848%)  | 
         Ref0: 0.313089 +- 0.157271 (224.206025%)  |            Ref0: 0.096571 +- 0.074973 (0.000000%)  |          Ref0: 0.312147 +- 0.176173 (223.230576%)  | 
          Imf0: 0.490339 +- 0.215267 (70.364850%)  |            Imf0: 0.287817 +- 0.132368 (0.000000%)  |           Imf0: 0.439318 +- 0.262380 (52.637961%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.742520 +- 0.374573 (-32.730506%)  |          Lambda: 1.103799 +- 0.520418 (0.000000%)  |        Lambda: 0.673030 +- 0.423684 (-39.026036%)  | 
        Radius: 2.331215 +- 0.514016 (25.249765%)  |          Radius: 1.861253 +- 0.341886 (0.000000%)  |         Radius: 2.294159 +- 0.540020 (23.258848%)  | 
         Ref0: 0.313089 +- 0.157271 (224.206025%)  |            Ref0: 0.096571 +- 0.074973 (0.000000%)  |          Ref0: 0.312147 +- 0.176173 (223.230576%)  | 
          Imf0: 0.490339 +- 0.215267 (70.364850%)  |            Imf0: 0.287817 +- 0.132368 (0.000000%)  |           Imf0: 0.439318 +- 0.262380 (52.637961%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 290.810  NDF = 289  Chi2/NDF = 1.006 |        Chi2 = 300.461  NDF = 289  Chi2/NDF = 1.040 |        Chi2 = 292.106  NDF = 289  Chi2/NDF = 1.011 | 
                                                   |                                                    |                                                    | 
