                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.281689 +- 0.340563 (-41.479583%)  |          Lambda: 2.190157 +- 0.478354 (0.000000%)  |        Lambda: 1.496672 +- 0.413324 (-31.663712%)  | 
         Radius: 3.414291 +- 0.479184 (8.770473%)  |          Radius: 3.138987 +- 0.361440 (0.000000%)  |         Radius: 3.591809 +- 0.558083 (14.425737%)  | 
         Ref0: -1.051033 +- 0.138364 (80.069764%)  |          Ref0: -0.583681 +- 0.083009 (-0.000000%)  |          Ref0: -1.054444 +- 0.171608 (80.654159%)  | 
          Imf0: 0.570003 +- 0.303014 (62.924566%)  |            Imf0: 0.349857 +- 0.124766 (0.000000%)  |           Imf0: 0.518513 +- 0.348473 (48.207125%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.137159 +- 0.306080 (-26.898258%)  |          Lambda: 1.555584 +- 0.359860 (0.000000%)  |        Lambda: 1.126208 +- 0.326353 (-27.602238%)  | 
         Radius: 3.414291 +- 0.479184 (8.770473%)  |          Radius: 3.138987 +- 0.361440 (0.000000%)  |         Radius: 3.591809 +- 0.558083 (14.425737%)  | 
         Ref0: -1.051033 +- 0.138364 (80.069764%)  |          Ref0: -0.583681 +- 0.083009 (-0.000000%)  |          Ref0: -1.054444 +- 0.171608 (80.654159%)  | 
          Imf0: 0.570003 +- 0.303014 (62.924566%)  |            Imf0: 0.349857 +- 0.124766 (0.000000%)  |           Imf0: 0.518513 +- 0.348473 (48.207125%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 424.574  NDF = 337  Chi2/NDF = 1.260 |        Chi2 = 442.923  NDF = 337  Chi2/NDF = 1.314 |        Chi2 = 426.954  NDF = 337  Chi2/NDF = 1.267 | 
                                                   |                                                    |                                                    | 
