                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.114038 +- 0.273241 (-3.609085%)  |          Lambda: 1.155750 +- 0.204779 (0.000000%)  |        Lambda: 0.786961 +- 0.201541 (-31.909063%)  |        Lambda: 0.714275 +- 0.154508 (-38.198140%)  | 
        Radius: 3.968578 +- 0.346833 (22.564107%)  |          Radius: 3.237961 +- 0.220537 (0.000000%)  |         Radius: 4.170957 +- 0.424365 (28.814306%)  |         Radius: 4.493306 +- 0.478995 (38.769615%)  | 
         Ref0: -0.400617 +- 0.100395 (38.677462%)  |          Ref0: -0.288884 +- 0.047811 (-0.000000%)  |         Ref0: -0.578061 +- 0.141101 (100.101425%)  |         Ref0: -0.662193 +- 0.133933 (129.224533%)  | 
          Imf0: 0.244006 +- 0.090669 (24.766580%)  |            Imf0: 0.195570 +- 0.024556 (0.000000%)  |          Imf0: 0.407341 +- 0.117784 (108.283990%)  |          Imf0: 0.557133 +- 0.120812 (184.876515%)  | 
         d0: -0.860079 +- 1.665353 (-134.029274%)  |              d0: 2.527468 +- 0.302998 (0.000000%)  |            d0: 1.006329 +- 0.368610 (-60.184303%)  |            d0: 0.710193 +- 0.512105 (-71.901009%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.114038 +- 0.273241 (-3.609085%)  |          Lambda: 1.155750 +- 0.204779 (0.000000%)  |        Lambda: 0.786961 +- 0.201541 (-31.909063%)  |        Lambda: 0.714275 +- 0.154508 (-38.198140%)  | 
        Radius: 3.968578 +- 0.346833 (22.564107%)  |          Radius: 3.237961 +- 0.220537 (0.000000%)  |         Radius: 4.170957 +- 0.424365 (28.814306%)  |         Radius: 4.493306 +- 0.478995 (38.769615%)  | 
         Ref0: -0.400617 +- 0.100395 (38.677462%)  |          Ref0: -0.288884 +- 0.047811 (-0.000000%)  |         Ref0: -0.578061 +- 0.141101 (100.101425%)  |         Ref0: -0.662193 +- 0.133933 (129.224533%)  | 
          Imf0: 0.244006 +- 0.090669 (24.766580%)  |            Imf0: 0.195570 +- 0.024556 (0.000000%)  |          Imf0: 0.407341 +- 0.117784 (108.283990%)  |          Imf0: 0.557133 +- 0.120812 (184.876515%)  | 
         d0: -0.860079 +- 1.665353 (-134.029274%)  |              d0: 2.527468 +- 0.302998 (0.000000%)  |            d0: 1.006329 +- 0.368610 (-60.184303%)  |            d0: 0.710193 +- 0.512105 (-71.901009%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.163104 +- 0.267886 (-20.814523%)  |          Lambda: 1.468835 +- 0.698322 (0.000000%)  |        Lambda: 0.875901 +- 0.237305 (-40.367638%)  |        Lambda: 0.746926 +- 0.177196 (-49.148407%)  | 
        Radius: 3.096481 +- 0.286204 (16.685772%)  |          Radius: 2.653692 +- 0.161228 (0.000000%)  |         Radius: 3.398965 +- 0.363050 (28.084382%)  |         Radius: 3.512370 +- 0.403285 (32.357862%)  | 
         Ref0: -0.400617 +- 0.100395 (38.677462%)  |          Ref0: -0.288884 +- 0.047811 (-0.000000%)  |         Ref0: -0.578061 +- 0.141101 (100.101425%)  |         Ref0: -0.662193 +- 0.133933 (129.224533%)  | 
          Imf0: 0.244006 +- 0.090669 (24.766580%)  |            Imf0: 0.195570 +- 0.024556 (0.000000%)  |          Imf0: 0.407341 +- 0.117784 (108.283990%)  |          Imf0: 0.557133 +- 0.120812 (184.876515%)  | 
         d0: -0.860079 +- 1.665353 (-134.029274%)  |              d0: 2.527468 +- 0.302998 (0.000000%)  |            d0: 1.006329 +- 0.368610 (-60.184303%)  |            d0: 0.710193 +- 0.512105 (-71.901009%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.163104 +- 0.267886 (-20.814523%)  |          Lambda: 1.468835 +- 0.698322 (0.000000%)  |        Lambda: 0.875901 +- 0.237305 (-40.367638%)  |        Lambda: 0.746926 +- 0.177196 (-49.148407%)  | 
        Radius: 3.096481 +- 0.286204 (16.685772%)  |          Radius: 2.653692 +- 0.161228 (0.000000%)  |         Radius: 3.398965 +- 0.363050 (28.084382%)  |         Radius: 3.512370 +- 0.403285 (32.357862%)  | 
         Ref0: -0.400617 +- 0.100395 (38.677462%)  |          Ref0: -0.288884 +- 0.047811 (-0.000000%)  |         Ref0: -0.578061 +- 0.141101 (100.101425%)  |         Ref0: -0.662193 +- 0.133933 (129.224533%)  | 
          Imf0: 0.244006 +- 0.090669 (24.766580%)  |            Imf0: 0.195570 +- 0.024556 (0.000000%)  |          Imf0: 0.407341 +- 0.117784 (108.283990%)  |          Imf0: 0.557133 +- 0.120812 (184.876515%)  | 
         d0: -0.860079 +- 1.665353 (-134.029274%)  |              d0: 2.527468 +- 0.302998 (0.000000%)  |            d0: 1.006329 +- 0.368610 (-60.184303%)  |            d0: 0.710193 +- 0.512105 (-71.901009%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1072.786  NDF = 981  Chi2/NDF = 1.094 |       Chi2 = 1171.321  NDF = 981  Chi2/NDF = 1.194 |       Chi2 = 1098.693  NDF = 981  Chi2/NDF = 1.120 |       Chi2 = 1057.672  NDF = 981  Chi2/NDF = 1.078 | 
                                                   |                                                    |                                                    |                                                    | 
