                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
        Ref0: -0.011267 +- 0.056708 (-89.202062%)  |          Ref0: -0.104344 +- 0.031033 (-0.000000%)  |         Ref0: -0.057811 +- 0.137818 (-44.595760%)  |         Ref0: 0.054428 +- 0.160489 (-152.162079%)  | 
          Imf0: 0.326010 +- 0.110179 (66.519392%)  |            Imf0: 0.195779 +- 0.028916 (0.000000%)  |          Imf0: 0.431338 +- 0.129642 (120.318829%)  |          Imf0: 0.589483 +- 0.138498 (201.096134%)  | 
         d0: -2.797951 +- 2.268373 (-140.345702%)  |              d0: 6.934942 +- 1.717831 (0.000000%)  |            d0: 3.479507 +- 2.276168 (-49.826444%)  |            d0: 2.197036 +- 3.354086 (-68.319331%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.163104 +- 0.267886 (-20.814523%)  |          Lambda: 1.468835 +- 0.698322 (0.000000%)  |        Lambda: 0.875901 +- 0.237305 (-40.367638%)  |        Lambda: 0.746926 +- 0.177196 (-49.148407%)  | 
        Radius: 3.096481 +- 0.286204 (16.685772%)  |          Radius: 2.653692 +- 0.161228 (0.000000%)  |         Radius: 3.398965 +- 0.363050 (28.084382%)  |         Radius: 3.512370 +- 0.403285 (32.357862%)  | 
        Ref0: -0.011267 +- 0.056708 (-89.202062%)  |          Ref0: -0.104344 +- 0.031033 (-0.000000%)  |         Ref0: -0.057811 +- 0.137818 (-44.595760%)  |         Ref0: 0.054428 +- 0.160489 (-152.162079%)  | 
          Imf0: 0.326010 +- 0.110179 (66.519392%)  |            Imf0: 0.195779 +- 0.028916 (0.000000%)  |          Imf0: 0.431338 +- 0.129642 (120.318829%)  |          Imf0: 0.589483 +- 0.138498 (201.096134%)  | 
         d0: -2.797951 +- 2.268373 (-140.345702%)  |              d0: 6.934942 +- 1.717831 (0.000000%)  |            d0: 3.479507 +- 2.276168 (-49.826444%)  |            d0: 2.197036 +- 3.354086 (-68.319331%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.163104 +- 0.267886 (-20.814523%)  |          Lambda: 1.468835 +- 0.698322 (0.000000%)  |        Lambda: 0.875901 +- 0.237305 (-40.367638%)  |        Lambda: 0.746926 +- 0.177196 (-49.148407%)  | 
        Radius: 3.096481 +- 0.286204 (16.685772%)  |          Radius: 2.653692 +- 0.161228 (0.000000%)  |         Radius: 3.398965 +- 0.363050 (28.084382%)  |         Radius: 3.512370 +- 0.403285 (32.357862%)  | 
        Ref0: -0.011267 +- 0.056708 (-89.202062%)  |          Ref0: -0.104344 +- 0.031033 (-0.000000%)  |         Ref0: -0.057811 +- 0.137818 (-44.595760%)  |         Ref0: 0.054428 +- 0.160489 (-152.162079%)  | 
          Imf0: 0.326010 +- 0.110179 (66.519392%)  |            Imf0: 0.195779 +- 0.028916 (0.000000%)  |          Imf0: 0.431338 +- 0.129642 (120.318829%)  |          Imf0: 0.589483 +- 0.138498 (201.096134%)  | 
         d0: -2.797951 +- 2.268373 (-140.345702%)  |              d0: 6.934942 +- 1.717831 (0.000000%)  |            d0: 3.479507 +- 2.276168 (-49.826444%)  |            d0: 2.197036 +- 3.354086 (-68.319331%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1072.786  NDF = 981  Chi2/NDF = 1.094 |       Chi2 = 1171.321  NDF = 981  Chi2/NDF = 1.194 |       Chi2 = 1098.693  NDF = 981  Chi2/NDF = 1.120 |       Chi2 = 1057.672  NDF = 981  Chi2/NDF = 1.078 | 
                                                   |                                                    |                                                    |                                                    | 
