                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                                                   |                                                    |                                                    | 
        Lambda: 0.659397 +- 0.181796 (-1.886251%)  |          Lambda: 0.672074 +- 0.185970 (0.000000%)  |          Lambda: 0.681582 +- 0.186968 (1.414725%)  | 
        Radius: 3.394267 +- 0.472377 (-0.670088%)  |          Radius: 3.417165 +- 0.484438 (0.000000%)  |          Radius: 3.453022 +- 0.488598 (1.049320%)  | 
           Ref0: 0.299901 +- 0.128143 (0.028017%)  |            Ref0: 0.299817 +- 0.128619 (0.000000%)  |            Ref0: 0.305472 +- 0.130469 (1.886151%)  | 
           Imf0: 0.422322 +- 0.111906 (0.236634%)  |            Imf0: 0.421325 +- 0.107433 (0.000000%)  |            Imf0: 0.423033 +- 0.106588 (0.405388%)  | 
            d0: -4.905350 +- 1.932808 (1.646557%)  |            d0: -4.825889 +- 1.884671 (-0.000000%)  |            d0: -4.784695 +- 1.852382 (-0.853604%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.659397 +- 0.181796 (-1.886251%)  |          Lambda: 0.672074 +- 0.185970 (0.000000%)  |          Lambda: 0.681582 +- 0.186968 (1.414725%)  | 
        Radius: 3.394267 +- 0.472377 (-0.670088%)  |          Radius: 3.417165 +- 0.484438 (0.000000%)  |          Radius: 3.453022 +- 0.488598 (1.049320%)  | 
           Ref0: 0.299901 +- 0.128143 (0.028017%)  |            Ref0: 0.299817 +- 0.128619 (0.000000%)  |            Ref0: 0.305472 +- 0.130469 (1.886151%)  | 
           Imf0: 0.422322 +- 0.111906 (0.236634%)  |            Imf0: 0.421325 +- 0.107433 (0.000000%)  |            Imf0: 0.423033 +- 0.106588 (0.405388%)  | 
            d0: -4.905350 +- 1.932808 (1.646557%)  |            d0: -4.825889 +- 1.884671 (-0.000000%)  |            d0: -4.784695 +- 1.852382 (-0.853604%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 723.067  NDF = 636  Chi2/NDF = 1.137 |        Chi2 = 721.214  NDF = 636  Chi2/NDF = 1.134 |        Chi2 = 719.535  NDF = 636  Chi2/NDF = 1.131 | 
                                                   |                                                    |                                                    | 
