                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
         Lambda: 0.961300 +- 0.727658 (1.224529%)  |          Lambda: 0.949671 +- 0.986684 (0.000000%)  |         Lambda: 0.911919 +- 0.850456 (-3.975271%)  | 
         Radius: 2.238994 +- 0.466747 (1.377727%)  |          Radius: 2.208566 +- 0.508054 (0.000000%)  |          Radius: 2.214096 +- 0.502091 (0.250389%)  | 
           Ref0: 0.254105 +- 0.139242 (3.539253%)  |            Ref0: 0.245419 +- 0.150769 (0.000000%)  |            Ref0: 0.246043 +- 0.158682 (0.254259%)  | 
           Imf0: 0.432143 +- 0.217858 (0.196617%)  |            Imf0: 0.431295 +- 0.307674 (0.000000%)  |            Imf0: 0.435772 +- 0.287108 (1.038037%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.747581 +- 0.403005 (1.756695%)  |          Lambda: 0.734675 +- 0.544829 (0.000000%)  |          Lambda: 0.737604 +- 0.488784 (0.398680%)  | 
         Radius: 2.238994 +- 0.466747 (1.377727%)  |          Radius: 2.208566 +- 0.508054 (0.000000%)  |          Radius: 2.214096 +- 0.502091 (0.250389%)  | 
           Ref0: 0.254105 +- 0.139242 (3.539253%)  |            Ref0: 0.245419 +- 0.150769 (0.000000%)  |            Ref0: 0.246043 +- 0.158682 (0.254259%)  | 
           Imf0: 0.432143 +- 0.217858 (0.196617%)  |            Imf0: 0.431295 +- 0.307674 (0.000000%)  |            Imf0: 0.435772 +- 0.287108 (1.038037%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
