                 CLAM_maxDcaV0Daughters = 0.300000 |                  CLAM_maxDcaV0Daughters = 0.400000 |                  CLAM_maxDcaV0Daughters = 0.500000 | 
                                                   |                                                    |                                                    | 
       Lambda: 0.863470 +- 0.202107 (-11.805502%)  |          Lambda: 0.979052 +- 0.233998 (0.000000%)  |          Lambda: 1.024237 +- 0.198194 (4.615179%)  | 
         Radius: 3.539109 +- 0.406803 (1.371669%)  |          Radius: 3.491221 +- 0.427327 (0.000000%)  |          Radius: 3.495423 +- 0.420794 (0.120359%)  | 
          Ref0: 0.264850 +- 0.133285 (36.689014%)  |            Ref0: 0.193761 +- 0.122816 (0.000000%)  |           Ref0: 0.178732 +- 0.092922 (-7.756463%)  | 
          Imf0: 0.369954 +- 0.125091 (28.534352%)  |            Imf0: 0.287825 +- 0.124612 (0.000000%)  |           Imf0: 0.267305 +- 0.083719 (-7.129332%)  | 
          d0: -5.521797 +- 2.933469 (-28.362909%)  |            d0: -7.708014 +- 4.439403 (-0.000000%)  |             d0: -8.449550 +- 3.517669 (9.620325%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.863470 +- 0.202107 (-11.805502%)  |          Lambda: 0.979052 +- 0.233998 (0.000000%)  |          Lambda: 1.024237 +- 0.198194 (4.615179%)  | 
         Radius: 3.539109 +- 0.406803 (1.371669%)  |          Radius: 3.491221 +- 0.427327 (0.000000%)  |          Radius: 3.495423 +- 0.420794 (0.120359%)  | 
          Ref0: 0.264850 +- 0.133285 (36.689014%)  |            Ref0: 0.193761 +- 0.122816 (0.000000%)  |           Ref0: 0.178732 +- 0.092922 (-7.756463%)  | 
          Imf0: 0.369954 +- 0.125091 (28.534352%)  |            Imf0: 0.287825 +- 0.124612 (0.000000%)  |           Imf0: 0.267305 +- 0.083719 (-7.129332%)  | 
          d0: -5.521797 +- 2.933469 (-28.362909%)  |            d0: -7.708014 +- 4.439403 (-0.000000%)  |             d0: -8.449550 +- 3.517669 (9.620325%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1089.665  NDF = 981  Chi2/NDF = 1.111 |       Chi2 = 1088.669  NDF = 981  Chi2/NDF = 1.110 |       Chi2 = 1085.982  NDF = 981  Chi2/NDF = 1.107 | 
                                                   |                                                    |                                                    | 
