                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.308393 +- 0.323203 (-31.737703%)  |          Lambda: 1.916714 +- 0.382529 (0.000000%)  |        Lambda: 1.653209 +- 0.397901 (-13.747747%)  | 
        Radius: 3.192285 +- 0.376257 (13.651729%)  |          Radius: 2.808831 +- 0.250145 (0.000000%)  |          Radius: 2.981657 +- 0.329918 (6.152951%)  | 
         Ref0: -1.094045 +- 0.218245 (62.065615%)  |          Ref0: -0.675063 +- 0.108234 (-0.000000%)  |          Ref0: -0.816766 +- 0.197388 (20.991078%)  | 
          Imf0: 0.445566 +- 0.204875 (61.029715%)  |            Imf0: 0.276698 +- 0.057225 (0.000000%)  |          Imf0: 0.215374 +- 0.096298 (-22.162791%)  | 
           d0: 1.122752 +- 0.348291 (-39.112142%)  |              d0: 1.843967 +- 0.125768 (0.000000%)  |            d0: 1.279124 +- 0.195123 (-30.631947%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.205911 +- 0.298930 (-24.779264%)  |          Lambda: 1.603163 +- 0.327078 (0.000000%)  |        Lambda: 1.375585 +- 0.340138 (-14.195562%)  | 
        Radius: 3.192285 +- 0.376257 (13.651729%)  |          Radius: 2.808831 +- 0.250145 (0.000000%)  |          Radius: 2.981657 +- 0.329918 (6.152951%)  | 
         Ref0: -1.094045 +- 0.218245 (62.065615%)  |          Ref0: -0.675063 +- 0.108234 (-0.000000%)  |          Ref0: -0.816766 +- 0.197388 (20.991078%)  | 
          Imf0: 0.445566 +- 0.204875 (61.029715%)  |            Imf0: 0.276698 +- 0.057225 (0.000000%)  |          Imf0: 0.215374 +- 0.096298 (-22.162791%)  | 
           d0: 1.122752 +- 0.348291 (-39.112142%)  |              d0: 1.843967 +- 0.125768 (0.000000%)  |            d0: 1.279124 +- 0.195123 (-30.631947%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 414.454  NDF = 336  Chi2/NDF = 1.233 |        Chi2 = 430.641  NDF = 336  Chi2/NDF = 1.282 |        Chi2 = 420.155  NDF = 336  Chi2/NDF = 1.250 | 
                                                   |                                                    |                                                    | 
