                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.555158 +- 0.922430 (-35.661928%)  |          Lambda: 2.417166 +- 0.912069 (0.000000%)  |        Lambda: 1.300514 +- 0.895081 (-46.196744%)  | 
        Radius: 2.777285 +- 0.693159 (11.556457%)  |          Radius: 2.489578 +- 0.436200 (0.000000%)  |         Radius: 2.806973 +- 0.772404 (12.748948%)  | 
          Ref0: 0.351337 +- 0.194307 (77.519137%)  |            Ref0: 0.197915 +- 0.096972 (0.000000%)  |          Ref0: 0.401798 +- 0.198922 (103.015436%)  | 
          Imf0: 0.413485 +- 0.164612 (38.180232%)  |            Imf0: 0.299236 +- 0.091837 (0.000000%)  |           Imf0: 0.418380 +- 0.153205 (39.816065%)  | 
          d0: -5.658267 +- 3.017163 (-15.390805%)  |            d0: -6.687532 +- 2.586229 (-0.000000%)  |           d0: -5.170573 +- 2.652958 (-22.683391%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.001288 +- 0.376305 (-36.768093%)  |          Lambda: 1.583517 +- 0.374492 (0.000000%)  |        Lambda: 0.854168 +- 0.364541 (-46.058805%)  | 
        Radius: 2.777285 +- 0.693159 (11.556457%)  |          Radius: 2.489578 +- 0.436200 (0.000000%)  |         Radius: 2.806973 +- 0.772404 (12.748948%)  | 
          Ref0: 0.351337 +- 0.194307 (77.519137%)  |            Ref0: 0.197915 +- 0.096972 (0.000000%)  |          Ref0: 0.401798 +- 0.198922 (103.015436%)  | 
          Imf0: 0.413485 +- 0.164612 (38.180232%)  |            Imf0: 0.299236 +- 0.091837 (0.000000%)  |           Imf0: 0.418380 +- 0.153205 (39.816065%)  | 
          d0: -5.658267 +- 3.017163 (-15.390805%)  |            d0: -6.687532 +- 2.586229 (-0.000000%)  |           d0: -5.170573 +- 2.652958 (-22.683391%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 286.353  NDF = 288  Chi2/NDF = 0.994 |        Chi2 = 293.601  NDF = 288  Chi2/NDF = 1.019 |        Chi2 = 287.827  NDF = 288  Chi2/NDF = 0.999 | 
                                                   |                                                    |                                                    | 
