                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.286909 +- 0.346055 (-36.295450%)  |          Lambda: 2.020121 +- 0.455887 (0.000000%)  |        Lambda: 1.543965 +- 0.437133 (-23.570667%)  | 
        Radius: 3.312760 +- 0.444188 (11.884040%)  |          Radius: 2.960887 +- 0.305695 (0.000000%)  |         Radius: 3.331513 +- 0.510108 (12.517398%)  | 
         Ref0: -1.270858 +- 0.273929 (59.696054%)  |          Ref0: -0.795798 +- 0.147524 (-0.000000%)  |          Ref0: -1.158549 +- 0.332844 (45.583301%)  | 
          Imf0: 0.463063 +- 0.301985 (89.346903%)  |            Imf0: 0.244558 +- 0.096666 (0.000000%)  |           Imf0: 0.309296 +- 0.303412 (26.471430%)  | 
           d0: 1.133037 +- 0.428006 (-27.274880%)  |              d0: 1.557972 +- 0.157202 (0.000000%)  |            d0: 1.050589 +- 0.355149 (-32.566888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.138829 +- 0.311214 (-20.444335%)  |          Lambda: 1.431487 +- 0.340803 (0.000000%)  |        Lambda: 1.159493 +- 0.345890 (-19.000801%)  | 
        Radius: 3.312760 +- 0.444188 (11.884040%)  |          Radius: 2.960887 +- 0.305695 (0.000000%)  |         Radius: 3.331513 +- 0.510108 (12.517398%)  | 
         Ref0: -1.270858 +- 0.273929 (59.696054%)  |          Ref0: -0.795798 +- 0.147524 (-0.000000%)  |          Ref0: -1.158549 +- 0.332844 (45.583301%)  | 
          Imf0: 0.463063 +- 0.301985 (89.346903%)  |            Imf0: 0.244558 +- 0.096666 (0.000000%)  |           Imf0: 0.309296 +- 0.303412 (26.471430%)  | 
           d0: 1.133037 +- 0.428006 (-27.274880%)  |              d0: 1.557972 +- 0.157202 (0.000000%)  |            d0: 1.050589 +- 0.355149 (-32.566888%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 427.381  NDF = 336  Chi2/NDF = 1.272 |        Chi2 = 436.978  NDF = 336  Chi2/NDF = 1.301 |        Chi2 = 429.827  NDF = 336  Chi2/NDF = 1.279 | 
                                                   |                                                    |                                                    | 
