                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.120636 +- 0.328129 (-38.530484%)  |          Lambda: 1.823076 +- 0.462476 (0.000000%)  |        Lambda: 1.369271 +- 0.428829 (-24.892270%)  | 
        Radius: 3.403801 +- 0.493711 (10.848227%)  |          Radius: 3.070686 +- 0.332659 (0.000000%)  |          Radius: 3.370422 +- 0.532124 (9.761206%)  | 
         Ref0: -1.191081 +- 0.302750 (65.076899%)  |          Ref0: -0.721531 +- 0.166149 (-0.000000%)  |          Ref0: -1.046354 +- 0.347268 (45.018579%)  | 
          Imf0: 0.469101 +- 0.307155 (74.466764%)  |            Imf0: 0.268877 +- 0.088983 (0.000000%)  |            Imf0: 0.283050 +- 0.268678 (5.271183%)  | 
           d0: 1.102085 +- 0.464567 (-29.788701%)  |              d0: 1.569669 +- 0.155559 (0.000000%)  |            d0: 1.018493 +- 0.358179 (-35.114155%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.987607 +- 0.293321 (-23.113806%)  |          Lambda: 1.284505 +- 0.340810 (0.000000%)  |        Lambda: 1.024474 +- 0.334791 (-20.243674%)  | 
        Radius: 3.403801 +- 0.493711 (10.848227%)  |          Radius: 3.070686 +- 0.332659 (0.000000%)  |          Radius: 3.370422 +- 0.532124 (9.761206%)  | 
         Ref0: -1.191081 +- 0.302750 (65.076899%)  |          Ref0: -0.721531 +- 0.166149 (-0.000000%)  |          Ref0: -1.046354 +- 0.347268 (45.018579%)  | 
          Imf0: 0.469101 +- 0.307155 (74.466764%)  |            Imf0: 0.268877 +- 0.088983 (0.000000%)  |            Imf0: 0.283050 +- 0.268678 (5.271183%)  | 
           d0: 1.102085 +- 0.464567 (-29.788701%)  |              d0: 1.569669 +- 0.155559 (0.000000%)  |            d0: 1.018493 +- 0.358179 (-35.114155%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 425.853  NDF = 336  Chi2/NDF = 1.267 |        Chi2 = 435.172  NDF = 336  Chi2/NDF = 1.295 |        Chi2 = 428.478  NDF = 336  Chi2/NDF = 1.275 | 
                                                   |                                                    |                                                    | 
