                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
       Lambda: 1.169428 +- 0.749288 (-42.138346%)  |          Lambda: 2.021076 +- 0.774165 (0.000000%)  |        Lambda: 0.935265 +- 0.662628 (-53.724402%)  | 
         Radius: 2.772887 +- 0.760231 (8.668179%)  |          Radius: 2.551701 +- 0.491351 (0.000000%)  |          Radius: 2.764087 +- 0.860451 (8.323311%)  | 
          Ref0: 0.329635 +- 0.190841 (79.867951%)  |            Ref0: 0.183265 +- 0.106416 (0.000000%)  |          Ref0: 0.379384 +- 0.203387 (107.013887%)  | 
          Imf0: 0.406116 +- 0.181368 (45.913260%)  |            Imf0: 0.278327 +- 0.103365 (0.000000%)  |           Imf0: 0.419174 +- 0.155039 (50.604864%)  | 
          d0: -5.857406 +- 3.417106 (-19.974200%)  |            d0: -7.319397 +- 3.305440 (-0.000000%)  |           d0: -5.238408 +- 2.727016 (-28.431154%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.828950 +- 0.365141 (-41.162024%)  |          Lambda: 1.408869 +- 0.358453 (0.000000%)  |        Lambda: 0.686645 +- 0.329283 (-51.262679%)  | 
         Radius: 2.772887 +- 0.760231 (8.668179%)  |          Radius: 2.551701 +- 0.491351 (0.000000%)  |          Radius: 2.764087 +- 0.860451 (8.323311%)  | 
          Ref0: 0.329635 +- 0.190841 (79.867951%)  |            Ref0: 0.183265 +- 0.106416 (0.000000%)  |          Ref0: 0.379384 +- 0.203387 (107.013887%)  | 
          Imf0: 0.406116 +- 0.181368 (45.913260%)  |            Imf0: 0.278327 +- 0.103365 (0.000000%)  |           Imf0: 0.419174 +- 0.155039 (50.604864%)  | 
          d0: -5.857406 +- 3.417106 (-19.974200%)  |            d0: -7.319397 +- 3.305440 (-0.000000%)  |           d0: -5.238408 +- 2.727016 (-28.431154%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 285.411  NDF = 288  Chi2/NDF = 0.991 |        Chi2 = 291.502  NDF = 288  Chi2/NDF = 1.012 |        Chi2 = 286.965  NDF = 288  Chi2/NDF = 0.996 | 
                                                   |                                                    |                                                    | 
