                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
           d0: -8.692390 +- 4.154186 (16.962911%)  |            d0: -7.431749 +- 1.470344 (-0.000000%)  |           d0: -5.840494 +- 2.582514 (-21.411582%)  |           d0: -5.442282 +- 2.514716 (-26.769836%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 0.985097 +- 0.249618 (-22.578214%)  |          Lambda: 1.272377 +- 0.140348 (0.000000%)  |        Lambda: 0.812022 +- 0.185890 (-36.180707%)  |        Lambda: 0.767105 +- 0.180705 (-39.710872%)  | 
        Radius: 4.349384 +- 0.462705 (11.288333%)  |          Radius: 3.908212 +- 0.282985 (0.000000%)  |          Radius: 4.179530 +- 0.411563 (6.942254%)  |          Radius: 4.267663 +- 0.435903 (9.197326%)  | 
          Ref0: 0.172125 +- 0.097369 (19.053383%)  |            Ref0: 0.144578 +- 0.036932 (0.000000%)  |           Ref0: 0.219927 +- 0.096020 (52.116505%)  |           Ref0: 0.237599 +- 0.106851 (64.339664%)  | 
          Imf0: 0.284193 +- 0.111704 (10.445992%)  |            Imf0: 0.257314 +- 0.034293 (0.000000%)  |           Imf0: 0.345482 +- 0.105434 (34.264750%)  |           Imf0: 0.377746 +- 0.117779 (46.803516%)  | 
           d0: -8.692390 +- 4.154186 (16.962911%)  |            d0: -7.431749 +- 1.470344 (-0.000000%)  |           d0: -5.840494 +- 2.582514 (-21.411582%)  |           d0: -5.442282 +- 2.514716 (-26.769836%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.071061 +- 0.249274 (-28.595933%)  |          Lambda: 1.500000 +- 0.069433 (0.000000%)  |        Lambda: 0.903228 +- 0.223222 (-39.784800%)  |        Lambda: 0.800370 +- 0.199296 (-46.642000%)  | 
        Radius: 3.464310 +- 0.402526 (12.438645%)  |          Radius: 3.081067 +- 0.178559 (0.000000%)  |         Radius: 3.405495 +- 0.357302 (10.529729%)  |          Radius: 3.304605 +- 0.363607 (7.255214%)  | 
          Ref0: 0.172125 +- 0.097369 (19.053383%)  |            Ref0: 0.144578 +- 0.036932 (0.000000%)  |           Ref0: 0.219927 +- 0.096020 (52.116505%)  |           Ref0: 0.237599 +- 0.106851 (64.339664%)  | 
          Imf0: 0.284193 +- 0.111704 (10.445992%)  |            Imf0: 0.257314 +- 0.034293 (0.000000%)  |           Imf0: 0.345482 +- 0.105434 (34.264750%)  |           Imf0: 0.377746 +- 0.117779 (46.803516%)  | 
           d0: -8.692390 +- 4.154186 (16.962911%)  |            d0: -7.431749 +- 1.470344 (-0.000000%)  |           d0: -5.840494 +- 2.582514 (-21.411582%)  |           d0: -5.442282 +- 2.514716 (-26.769836%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.071061 +- 0.249274 (-28.595933%)  |          Lambda: 1.500000 +- 0.069433 (0.000000%)  |        Lambda: 0.903228 +- 0.223222 (-39.784800%)  |        Lambda: 0.800370 +- 0.199296 (-46.642000%)  | 
        Radius: 3.464310 +- 0.402526 (12.438645%)  |          Radius: 3.081067 +- 0.178559 (0.000000%)  |         Radius: 3.405495 +- 0.357302 (10.529729%)  |          Radius: 3.304605 +- 0.363607 (7.255214%)  | 
          Ref0: 0.172125 +- 0.097369 (19.053383%)  |            Ref0: 0.144578 +- 0.036932 (0.000000%)  |           Ref0: 0.219927 +- 0.096020 (52.116505%)  |           Ref0: 0.237599 +- 0.106851 (64.339664%)  | 
          Imf0: 0.284193 +- 0.111704 (10.445992%)  |            Imf0: 0.257314 +- 0.034293 (0.000000%)  |           Imf0: 0.345482 +- 0.105434 (34.264750%)  |           Imf0: 0.377746 +- 0.117779 (46.803516%)  | 
           d0: -8.692390 +- 4.154186 (16.962911%)  |            d0: -7.431749 +- 1.470344 (-0.000000%)  |           d0: -5.840494 +- 2.582514 (-21.411582%)  |           d0: -5.442282 +- 2.514716 (-26.769836%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1067.771  NDF = 981  Chi2/NDF = 1.088 |       Chi2 = 1152.580  NDF = 981  Chi2/NDF = 1.175 |       Chi2 = 1098.690  NDF = 981  Chi2/NDF = 1.120 |       Chi2 = 1053.264  NDF = 981  Chi2/NDF = 1.074 | 
                                                   |                                                    |                                                    |                                                    | 
