                           ResPrimMaxDecayType = 3 |                            ResPrimMaxDecayType = 4 |                            ResPrimMaxDecayType = 6 | 
         Lambda: 0.858235 +- 0.192074 (3.142460%)  |          Lambda: 0.832087 +- 0.189277 (0.000000%)  |         Lambda: 0.825825 +- 0.190731 (-0.752566%)  | 
        Radius: 3.474531 +- 0.391904 (-0.145821%)  |          Radius: 3.479605 +- 0.392581 (0.000000%)  |         Radius: 3.479211 +- 0.409753 (-0.011323%)  | 
          Ref0: -0.639176 +- 0.126572 (1.225938%)  |          Ref0: -0.631435 +- 0.128169 (-0.000000%)  |          Ref0: -0.629028 +- 0.128519 (-0.381195%)  | 
           Imf0: 0.515621 +- 0.137806 (0.365357%)  |            Imf0: 0.513744 +- 0.137354 (0.000000%)  |           Imf0: 0.511682 +- 0.141379 (-0.401367%)  | 
             d0: 0.752911 +- 0.488979 (0.286376%)  |              d0: 0.750761 +- 0.498059 (0.000000%)  |             d0: 0.747684 +- 0.497737 (-0.409851%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.858235 +- 0.192074 (3.142460%)  |          Lambda: 0.832087 +- 0.189277 (0.000000%)  |         Lambda: 0.825825 +- 0.190731 (-0.752566%)  | 
        Radius: 3.474531 +- 0.391904 (-0.145821%)  |          Radius: 3.479605 +- 0.392581 (0.000000%)  |         Radius: 3.479211 +- 0.409753 (-0.011323%)  | 
          Ref0: -0.639176 +- 0.126572 (1.225938%)  |          Ref0: -0.631435 +- 0.128169 (-0.000000%)  |          Ref0: -0.629028 +- 0.128519 (-0.381195%)  | 
           Imf0: 0.515621 +- 0.137806 (0.365357%)  |            Imf0: 0.513744 +- 0.137354 (0.000000%)  |           Imf0: 0.511682 +- 0.141379 (-0.401367%)  | 
             d0: 0.752911 +- 0.488979 (0.286376%)  |              d0: 0.750761 +- 0.498059 (0.000000%)  |             d0: 0.747684 +- 0.497737 (-0.409851%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1055.512  NDF = 981  Chi2/NDF = 1.076 |       Chi2 = 1055.652  NDF = 981  Chi2/NDF = 1.076 |       Chi2 = 1055.655  NDF = 981  Chi2/NDF = 1.076 | 
                                                   |                                                    |                                                    | 
