                           ResPrimMaxDecayType = 3 |                            ResPrimMaxDecayType = 4 |                            ResPrimMaxDecayType = 6 | 
         Lambda: 0.858235 +- 0.192074 (3.142460%)  |          Lambda: 0.832087 +- 0.189277 (0.000000%)  |         Lambda: 0.825825 +- 0.190731 (-0.752566%)  | 
        Radius: 3.474531 +- 0.391904 (-0.145821%)  |          Radius: 3.479605 +- 0.392581 (0.000000%)  |         Radius: 3.479211 +- 0.409753 (-0.011323%)  | 
           Ref0: 0.291156 +- 0.117425 (1.557780%)  |            Ref0: 0.286690 +- 0.117108 (0.000000%)  |           Ref0: 0.285441 +- 0.117668 (-0.435662%)  | 
           Imf0: 0.406732 +- 0.108351 (0.590835%)  |            Imf0: 0.404343 +- 0.110649 (0.000000%)  |           Imf0: 0.403814 +- 0.107511 (-0.130830%)  | 
           d0: -5.011537 +- 2.035792 (-0.787792%)  |            d0: -5.051331 +- 2.102769 (-0.000000%)  |             d0: -5.061875 +- 2.064672 (0.208737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.858235 +- 0.192074 (3.142460%)  |          Lambda: 0.832087 +- 0.189277 (0.000000%)  |         Lambda: 0.825825 +- 0.190731 (-0.752566%)  | 
        Radius: 3.474531 +- 0.391904 (-0.145821%)  |          Radius: 3.479605 +- 0.392581 (0.000000%)  |         Radius: 3.479211 +- 0.409753 (-0.011323%)  | 
           Ref0: 0.291156 +- 0.117425 (1.557780%)  |            Ref0: 0.286690 +- 0.117108 (0.000000%)  |           Ref0: 0.285441 +- 0.117668 (-0.435662%)  | 
           Imf0: 0.406732 +- 0.108351 (0.590835%)  |            Imf0: 0.404343 +- 0.110649 (0.000000%)  |           Imf0: 0.403814 +- 0.107511 (-0.130830%)  | 
           d0: -5.011537 +- 2.035792 (-0.787792%)  |            d0: -5.051331 +- 2.102769 (-0.000000%)  |             d0: -5.061875 +- 2.064672 (0.208737%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1055.512  NDF = 981  Chi2/NDF = 1.076 |       Chi2 = 1055.652  NDF = 981  Chi2/NDF = 1.076 |       Chi2 = 1055.655  NDF = 981  Chi2/NDF = 1.076 | 
                                                   |                                                    |                                                    | 
